,kor,eng
1489,그녀는 음식을 조금밖에 먹지 않아요 .,She eats like a bird .
1490,그녀는 음악에 대한 조예가 깊습니다 .,She has a thorough knowledge of music .
1491,그녀는 음악에 대해서 잘 알아요 .,She has an ear for music .
1492,그녀는 음악을 들으면서 휴식합니다 .,She takes a rest listening to music .
1493,그녀는 의도적으로 그에게 죄의식을 줬어요 .,She intentionally gave him a sense of guilt .
1494,그녀는 의자 위로 털썩 주저 앉았어요 .,She flopped into a chair .
1495,그녀는 의지가 강한 편입니다 .,She is strong minded .
1496,그녀는 의지할 수 없는 사람이에요 .,She is an undependable person .
1497,그녀는 이 계획에는 관심이 없습니다 .,She is not interested in this plan .
1498,그녀는 이 동네에서 6년 동안 살았어요 .,She has lived in this town for 6 years .
1499,그녀는 이 반에서 가장 예쁜 소녀예요 .,She is the prettiest girl in this class .
1500,그녀는 이 병원의 수간호사에요 .,She is the head nurse of the hospital .
1501,그녀는 이 소설을 읽고 굉장히 감동받았습니다 .,She was deeply moved reading this novel .
1502,그녀는 이 시기에 홍콩에 왜 가죠 ?,Why does she go to Hongkong at this time ?
1503,그녀는 이 음식점에서 먹기를 원했습니다 .,She wanted to have food at this restaurant .
1504,그녀는 이 이메일 주소를 본인이 사용 중이라고 말했어요 .,She said she s using this e mail address .
1505,그녀는 이 자리를 불편해합니다 .,She is inconvenient with this place .
1506,그녀는 이 작품의 작가예요 .,She is the playwright of this work .
1507,그녀는 이 재킷을 원하지 않습니다 .,She doesn t want this jacket .
1508,그녀는 이 책을 즐겁게 봤습니다 .,She enjoyed the book .
1509,그녀는 이 캐리커처를 안 좋아하는척 하지만 사실은 마음에 들어 합니다 .,She pretends she doesn t like this caricature but she actually likes them .
1510,그녀는 이 편지를 그가 받게 되기를 바란다 .,She wants him to get this letter .
1511,그녀는 이 학교를 졸업했습니다 .,She graduated from this school .
1512,그녀는 이 학교에서 가장 천하 태평한 선생님이에요 .,She is the most easy going teacher in this school .
1513,그녀는 이 학교의 선생님이에요 .,She is a teacher at this school .
1514,그녀는 이 행사를 위해 시장의 도움을 받았습니다 .,She got some help from the mayor for this event .
1515,그녀는 이 호수를 좋아해요 .,She likes this lake .
1516,그녀는 이 회사에서 일할 자격이 없습니다 .,She doesn t deserve the job here .
1517,그녀는 이 회사에서 없어서는 안될 사람입니다 .,She is am indispensable member of this company .
1518,그녀는 이 회사의 어음을 인수하고 싶어 해요 .,She likes to take up the bill for this company .
1519,그녀는 이 회사의 인재상과 딱 맞는 인재입니다 .,She is a perfect fit for this company type .
1520,그녀는 이가 고르게 났나요 ?,Does she have even teeth ?
1521,그녀는 이것에 관해 온갖 불평을 다 했어요 .,She made all sorts of complaints about it .
1522,그녀는 이것을 고려하는 방향으로 구성해야 해요 .,She has to construct this in the direction of considering this .
1523,그녀는 이것을 내일까지 먹어야만 해요 .,She should eat it until tomorrow .
1524,그녀는 이것을 발송하기 전에 확인할 거예요 .,She will check it before sending .
1525,그녀는 이것이 심플한 케이크이라고 하지만 엄청 맛있을 거 같아 .,It would be very delicious even she says it s a simple cake .
1526,그녀는 이곳에 못 오게 되었습니다 .,She cannot come there .
1527,그녀는 이곳에 잘 적응하고 재미있어해요 .,She s doing great and having fun here .
1528,그녀는 이기적이고 허세가 심해요 .,She is selfish and bluffs a lot .
1529,그녀는 이기적이지 않고 나를 잘 챙겨 준다 .,She is not selfish and takes good care of me .
1530,그녀는 이끌리듯 그것을 따라갑니다 .,She follows it as if she were dragged .
1531,그녀는 이달에 세 번 파티가 있었어요 .,She had three parties this month .
1532,그녀는 이달에 세 번의 파티가 있었어 .,She had 3 parties this month .
1533,그녀는 이런 일이 일어날 줄은 꿈에도 몰랐겠지 .,She had no idea what is before her eyes .
1534,그녀는 이름을 말하지 않았어 .,She didn t give a name .
1535,그녀는 이모에게 공손하게 말을 했어요 .,She talked to her aunt very politely .
1536,그녀는 이모와 공손하게 대화 했습니다 .,She spoke politely with her aunt .
1537,그녀는 이미 탈퇴한 회원입니다 .,She is the member who has already signed out .
1538,그녀는 이민국에서 먼저 비자를 만들어야 합니다 .,She has to make a visa first at the immigration office .
1539,그녀는 이번 수요일에 학교에 갈 거예요 .,She is going to go to school this Wednesday .
1540,그녀는 이번 시험성적 때문에 충격을 받아 죽을 지경이에요 .,She is shocked to death due to her test result .
1541,그녀는 이번 올림픽에서 금메달을 또 땄습니다 .,She won the gold medal again in the year s Olympic games .
1542,그녀는 이번 주 목요일은 휴무입니다 .,She will be off this Thursday .
1543,그녀는 이번 주 일요일에 나랑 데이트가 있어 .,She has a date with me this Sunday .
1544,그녀는 이번 주에 출근하지 못해요 .,She can t go to work this week .
1545,그녀는 이번 주에 허리 수술을 받을 예정입니다 .,She will have a waistr surgery this week .
1546,그녀는 이번 중간고사를 잘 치렀습니다 .,She did well on her midterm exam .
1547,그녀는 이번 프로젝트에서 이점을 얻으려고 합니다 .,She tries to gain an advantage in this project .
1548,그녀는 이번 학기 영어 수업을 잘 알아듣나요 ?,Does she understand the English class this semester ?
1549,그녀는 이번에 당선된 한국의 차기 대통령입니다 .,She is the president elect of Korea .
1550,그녀는 이번에 아파트가 당첨되었습니다 .,She has won an apartment this time .
1551,그녀는 이번에는 많이 아파합니다 .,She is very sick this time .
1552,그녀는 이번에도 딸을 낳았습니다 .,She had a baby girl this time again .
1553,그녀는 이번에도 잘 해낼 겁니다 .,She will do it well this time too .
1554,그녀는 이전에 이렇게 슬픈 적이 없었습니다 .,She had never been so sad before .
1555,그녀는 이제 20대 후반이에요 ?,Is she in her late twenties ?
1556,그녀는 이틀 전 여기에 왔습니다 .,She came here 2 days ago .
1557,그녀는 이틀 전부터 토하고 설사를 하고 있다 .,She has been vomiting and having diarrhea since two days ago .
1558,그녀는 이혼했고 아이가 두 명 있어요 .,She got divorced and has two children .
1559,그녀는 인도의 빈민을 위해 인생을 바쳤어요 .,She dedicated her life to helping the poor in India .
1560,그녀는 인라인스케이트 타지 않을 것이에요 .,She is not going to ride inline skates .
1561,그녀는 인사를 잘 하고 다른 사람들을 잘 도와줍니다 .,She says hello and helps other people .
1562,그녀는 인삼 말리기를 하고 있습니다 .,She is drying ginseng .
1563,그녀는 인생의 전반을 살필 때 선은 어떠한 것에나 적용할 수 있다고 말했어요 .,She told me that zen could be applied to anything in our life .
1564,그녀는 인조 속눈썹을 붙여요 .,She wears false eyelashes .
1565,그녀는 인체의 구조를 파악하고 있지 못해요 .,She cannot understand the human body structure .
1566,그녀는 인형을 갖길 원해요 .,She wants a doll .
1567,그녀는 일 때문에 당분간 시간이 없을거예요 .,She won t have time for a while due to her work .
1568,그녀는 일반인도 들어가기 힘든 하버드 대학에 입학했습니다 .,She entered Harvard University where normal people can t go .
1569,그녀는 일본 영화보다 할리우드 영화를 좋아합니다 .,She likes Hollywood movies better than Japanese movies .
1570,그녀는 일본에 있는 아들 집에 방문합니다 .,She visits her son s house in Japan .
1571,그녀는 일본에서 온 선생님입니다 .,She s a teacher from Japan .
1572,그녀는 일본에서 출판된 책만 갖고 있어요 .,She only has books published in Japan .
1573,그녀는 일본인 사장을 찾는 게 나을 거야 .,She d better find a Japanese CEO .
1574,그녀는 일에 대해 열정적이고 인정 받기를 원해요 .,She is passionate about her work and wants to get recognition .
1575,그녀는 일요일 오후 일찍 도착했습니다 .,She arrived early on Sunday afternoon .
1576,그녀는 일요일 이후로 계속 아픕니다 .,She has been sick since Sunday .
1577,그녀는 일요일마다 그에게 영어를 가르치곤 했습니다 .,She used to teach him English every Sunday .
1578,그녀는 일요일마다 박물관에 가곤 했습니다 .,She used to go to the museum every Sunday .
1579,그녀는 일요일마다 휴일을 갖기를 원했습니다 .,She wanted to have a day off every Sunday .
1580,그녀는 일요일에 혼자서 일을 하기 때문에 스케줄이 다릅니다 .,She has a different schedule because she works alone on Sunday .
1581,그녀는 일을 망쳐버렸습니다 .,She messed it up .
1582,그녀는 일을 순조롭게 처리했습니다 .,She did her job smoothly .
1583,그녀는 일을 열심히 하면 부모님과 놀러 갈 수 있습니다 .,She could hang out with her parents if she works hard .
1584,그녀는 일자리에 대한 정보를 인터넷에서 얻어 .,She acquires the information about a job on the internet .
1585,그녀는 일주일 내로 돈을 갚겠다고 했어요 .,She said she would pay me back within a week .
1586,그녀는 일주일에 3번 신장 투석을 해요 .,She is on kidney dialysis 3 times a week .
1587,그녀는 일주일에 6일을 스케이팅 연습을 합니다 .,She practices skating six days a week .
1588,그녀는 일주일째 아프기만 합니다 .,She has been sick for a week .
1589,그녀는 일하고 있지만 진급을 못 하고 있어 .,She is working but she s not being promoted .
1590,그녀는 일하면서 쉬는 시간에는 틈틈이 과제를 해요 .,She works and does an assignment in spare time .
1591,그녀는 임신 조절을 실행하지 않아요 .,She doesn t do birth control .
1592,그녀는 임신을 해서 아기가 나오려고 진통을 했어요 .,She was pregnant and suffered throes as her baby tried to come out .
1593,그녀는 입술이 두꺼워요 .,She has thick lips .
1594,그녀는 입술이 매우 두껍습니다 .,She has very thick lips .
1595,그녀는 자격이 충분하다고 추천해요 .,I recommend her because she deserves it .
1596,그녀는 자기 가방을 껴안고 자고 있습니다 .,She is sleeping hugging her bag in her arms .
1597,그녀는 자기 가족들과 운동하는 것을 즐깁니다 .,She enjoys exercising with her family .
1598,그녀는 자기 가족을 그리워했어요 .,She missed her family .
1599,그녀는 자기 개를 매우 많이 사랑합니다 .,She really loves her dog .
1600,그녀는 자기 개를 풀어줬어요 .,She unchained her dog .
1601,그녀는 자기 개와 함께 산책을 종종 해요 .,She often walks with her dog .
1602,그녀는 자기 고모와 고모부와 함께 살았다 .,She lived with her aunt and uncle .
1603,그녀는 자기 고향으로 떠났습니다 .,She has gone to her hometown .
1604,그녀는 자기 고향이 캐나다에 있다고 생각해요 .,She thinks her hometown is in Canada .
1605,그녀는 자기 날만 하고 남의 말을 듣지 않으시죠 .,She talks without listening to others .
1606,그녀는 자기 남자 친구의 군대 입대식에 갔습니다 .,She went to her boyfriend s military enlistment ceremony .
1607,그녀는 자기 남편의 죽음을 슬퍼하고 있어요 .,She is in mourning for her husband .
1608,그녀는 자기 노여움을 억누를 수가 없었다 .,She couldn t press her anger .
1609,그녀는 자기 대사를 자랑스럽게 말해요 .,She reads her lines with much pride .
1610,그녀는 자기 돈을 통장에 저금했습니다 .,She saved her money to her account .
1611,그녀는 자기 동생이 왕따를 당했다는 것을 알았어요 .,She knew that her sister was bullied .
1612,그녀는 자기 딸에게 매우 차가웠습니다 .,She was cold to her daughter .
1613,그녀는 자기 딸에게 매일 아침 책을 읽게 해요 .,She makes her daughter read books every morning .
1614,그녀는 자기 딸을 포옹하고 있었습니다 .,She was hugging her daughter .
1615,그녀는 자기 룸메이트와 함께 살았습니다 .,She lived with her roommates .
1616,그녀는 자기 만족 자존감에 대한 욕구가 높다 .,Her needs for self satisfcation and self esteem are high .
1617,그녀는 자기 방식이 잘못됐다는 것을 깨닫습니다 .,She realizes that her way is wrong .
1618,그녀는 자기 붓으로 그림을 그리지요 .,She draws pictures using her brush .
1619,그녀는 자기 사진을 배달받기를 원했어요 .,She wanted to have her photos delivered .
1620,그녀는 자기 사촌 결혼식 때문에 서울에 왔습니다 .,She came to Seoul for her cousin s wedding .
1621,그녀는 자기 생일을 어떻게 보냈는지 이야기했습니다 .,She told me how she spent her birthday .
1622,그녀는 자기 성적 때문에 좌절했어요 .,She was frustrated by her grades .
1623,그녀는 자기 세계 기록을 깨고 금메달을 땄습니다 .,She broke her world record and won a gold medal .
1624,그녀는 자기 아기와 함께 목욕하고 있어요 .,She is taking a bath with her baby .
1625,그녀는 자기 아들들을 학교로 보냈어요 .,She sent her sons to school .
1626,그녀는 자기 아들이 잠이 들기를 기다렸습니다 .,She waited for her son to fell asleep .
1627,그녀는 자기 아이들을 재우기 위해서 가야 합니다 .,She needs to go to put her children to bed .
1628,그녀는 자기 아파트로 그를 유인했어요 .,She allured him to her apartment .
1629,그녀는 자기 어머니가 물려준 반지를 끼고 있어요 .,She is wearing the ring that her mother gave to her .
1630,그녀는 자기 언니 못지않게 아름답습니다 .,She is as beautiful as her older sister .
1631,그녀는 자기 얼굴을 숨기지 않았습니다 .,She did not hide her face .
1632,그녀는 자기 엄마와 너무 오랫동안 만나지 않았어요 .,She hasn t met her mother for a long time .
1633,그녀는 자기 오빠가 농구 차트를 만들어 주길 원합니다 .,She wants her brother to make a basketball chart .
1634,그녀는 자기 옷을 75초 만에 갈아입는다 .,She changes her clothes only in 75seconds .
1635,그녀는 자기 이메일을 확인하지 않았습니다 .,She didn t check her e mail .
1636,그녀는 자기 일에 책임감이 없습니다 .,She is irresponsible to her work .
1637,그녀는 자기 일에 책임감이 있습니다 .,She is responsible for her work .
1638,그녀는 자기 일에 항상 최선을 다하며 업무 성과도 좋습니다 .,She always does her best in her job and has good performance .
1639,그녀는 자기 일을 사랑하며 굉장한 자신감을 느끼고 있습니다 .,She loves her job and she has a lot of confidence in it .
1640,그녀는 자기 자신밖에 모르는 것 같아요 .,She seems to think of no one but herself .
1641,그녀는 자기 전에 연필을 깎아야 합니다 .,She needs to sharpen her pencils before going to bed .
1642,그녀는 자기 직업이 힘들지는 않다고 했어요 .,She said that her job was not hard .
1643,그녀는 자기 직책에 잘 적응하고 있습니다 .,She is being well adopted to her position .
1644,그녀는 자기 집을 직접 인테리어 합니다 .,She decorates her house by herself .
1645,그녀는 자기 집을 파랗게 칠했습니다 .,She painted her house blue .
1646,그녀는 자기 코 골절 때문에 병원에 갔다 .,She went to the hospital for her broken nose .
1647,그녀는 자기 학교의 라운지에서 일합니다 .,She is working at the lounge in her school .
1648,그녀는 자기 학생들에게 친절한 선생님입니다 .,She is a teacher who is kind to her students .
1649,그녀는 자기 할머니에 의해 키워졌습니다 .,She was raised by her grandma .
1650,그녀는 자기 핸드폰에 신경쓰지 않습니다 .,She doesn t pay attention to her cell phone .
1651,그녀는 자기가 남자인 것처럼 행동합니까 ?,Does she act like a man ?
1652,그녀는 자기가 뭐라고 생각하는 거죠 ?,Who does she think she is ?
1653,그녀는 자기관리가 철저합니다 .,She does self management very well .
1654,그녀는 자기도 모르게 했어요 .,She said that unconsciously .
1655,그녀는 자기만의 매력이 있어요 .,She has style .
1656,그녀는 자기의 가방을 등에 메었습니다 .,She carried her bag on her back .
1657,그녀는 자기의 고양이를 매우 많이 사랑해요 .,She loves her cat very much .
1658,그녀는 자기의 돈을 아끼려고 했습니다 .,She tried to save her money .
1659,그녀는 자기의 딸에게 드레스를 만들어 주었습니다 .,She made her daughter a dress .
1660,그녀는 자기의 몸을 위해서 운동합니다 .,She works out for her healthy body .
1661,그녀는 자기의 배터리를 가져가기 위해 왔습니다 .,She came here to take her battery .
1662,그녀는 자기의 사장과 사귑니다 .,She is dating with her boss .
1663,그녀는 자기의 생일 선물에 심취해 있었어요 .,She was attracted by her birthday present .
1664,그녀는 자기의 옷에 무관심해요 .,She is indifferent to her clothes .
1665,그녀는 자기의 일을 끝내야 합니다 .,She has to finish her work .
1666,그녀는 자기의 임무에 소홀해요 .,She is neglectful of her duties .
1667,그녀는 자기의 작업복을 입습니다 .,She is putting on her working clothes .
1668,그녀는 자꾸 나보고 40T 컨테이너에 차를 한 대 섞어서 가져오라고 합니다 .,She keeps telling me to bring 40T container with one car mixed .
1669,그녀는 자녀들 교육을 열심히 하는 어머니에요 .,She is enthusiastic about her children s education .
1670,그녀는 자동차를 팔고 큰 혜택을 받았습니다 .,She sold her car and received a big benefit .
1671,그녀는 자리에서 일어나 친구의 방으로 달려갔습니다 .,She stood up and ran to her friend s room .
1672,그녀는 자막을 보지 않고도 영화를 이해할 수 있어요 ?,Can she understand most of the movie without looking at the subtitles ?
1673,그녀는 자명종 소리가 시끄러워서 귀를 막고 있습니다 .,She blocks her ears because the alarm clock is too noisy .
1674,그녀는 자본이 전혀 없이 사업을 시작했어요 .,She started the business without any capital .
1675,그녀는 자상하지만 화가 나면 무서워요 .,She is nice but she is scary when she gets mad .
1676,그녀는 자수하기 위해 경찰서로 갔어요 .,She went to the police to surrender .
1677,그녀는 자신과 그녀의 개의 새로운 신발들을 샀어요 .,She bought some new shoes for herself and her dog .
1678,그녀는 자신에게 주어진 것에 만족했습니다 .,She was satisfied with what she got .
1679,그녀는 자신을 위해 별로 돈을 쓰지 않았다 .,She didn t spend much money on herself .
1680,그녀는 자신을 위해 한 달에 10만 원을 씁니다 .,She spends 100 .000 won for herself in a month .
1681,그녀는 자신을 향한 친구 들의 사랑을 알게 되었다 .,She felt her friend s love for her .
1682,그녀는 자신의 고향에는 태풍 피해가 없었다고 했어요 .,She said there wasn t any damage in her hometown .
1683,그녀는 자신의 고향이 아닌 인도의 빈민가에서 돌아가셨습니다 .,She passed away at the shantytown in India not in her hometown .
1684,그녀는 자신의 꿈인 금메달을 얻었습니다 .,She won the gold medal which has been her dream .
1685,그녀는 자신의 남편을 의심하고 있었습니다 .,She was doubting her husband .
1686,그녀는 자신의 남편이 성공할 것이라고 확신합니다 .,She is sure that her husband will be successful .
1687,그녀는 자신의 농장에서 농산물을 주셨어요 .,She gave me some agricultural products on her farm .
1688,그녀는 자신의 눈을 감았어요 .,She closed her eyes .
1689,그녀는 자신의 발표 주제에 대해 많이 조사했어요 .,She did a lot of research about her presentation topic .
1690,그녀는 자신의 방식이 옳다고 말했어요 .,She said her way was right .
1691,그녀는 자신의 새 차를 자랑했습니다 .,She bragged about her new car .
1692,그녀는 자신의 성과에 대해 늘 자랑을 합니다 .,She always boasts about her achievement .
1693,그녀는 자신의 성적에 얽매이지 않아요 .,She is not obsessed with her grades .
1694,그녀는 자신의 옷을 줍고 있어요 .,She is picking up her clothes .
1695,그녀는 자신의 위치를 잘 이해합니다 .,She understands her position well .
1696,그녀는 자신의 잘못을 나중에 알았습니다 .,She knew about her mistakes later .
1697,그녀는 자신의 직업이 얼마나 중요한 지 깨달았습니다 .,She realized how important her job was .
1698,그녀는 자신의 직장 상사를 싫어해요 .,She doesn t like her boss .
1699,그녀는 자신의 집을 인테리어 했어요 .,She decorated her own house .
1700,그녀는 자신의 피부가 마치 죽은 것처럼 창백한 것을 싫어합니다 .,She hates her pale skin that looks like it s dead .
1701,그녀는 자신이 가진 전부를 아낌없이 주었다 .,She gave everything she has generously .
1702,그녀는 자신이 똑똑한 것을 강조해요 .,She emphasizes that she s smart .
1703,그녀는 자신이 만든 빵을 집에서 가족과 함께 먹고 있어요 .,She is eating the breads that she made with her family .
1704,그녀는 자신이 장애를 극복한 위대한 위인이에요 .,She is a great woman who overcame the disability .
1705,그녀는 자신이 좋아하는 음식을 만들어봐야 합니다 .,She has to try making food that she likes .
1706,그녀는 자신이 진정으로 사랑하는 사람을 선택했습니다 .,She chose the one she truly loves .
1707,그녀는 자신이 태어난 도시를 따서 이름이 붙여졌습니다 .,She s named it after her home city .
1708,그녀는 자신이 한국인이라고 했어요 .,She said she is Korean .
1709,그녀는 자연스럽고 그윽한 눈을 가졌습니다 .,She has natural and tender eyes .
1710,그녀는 작년 5월에 한국인과 결혼했어요 .,She married a Korean last May .
1711,그녀는 작년 이후로 컴퓨터를 원했어요 .,She wanted a computer since last year .
1712,그녀는 작년부터 미국에 있습니다 .,She has been in America since last year .
1713,그녀는 작년에 마이크와 결혼했어요 .,She married Mike last year .
1714,그녀는 작년에 나를 만난 것을 기억해요 .,She remembered that she met me last year .
1715,그녀는 작년에 대학에서 퇴학당했어요 .,She was kicked out of the university last year .
1716,그녀는 작년에 미국으로 이주했습니다 .,She has immigrated to the United States last year .
1717,그녀는 작년에 비행기 사고로 사망했어요 .,She was killed in a plane crash last year .
1718,그녀는 작년에 상을 세 개나 받았어요 .,She has received three awards last year .
1719,그녀는 작년에 처음으로 호흡기를 사용 처방받았습니다 .,She was prescribed to use the inhaler last year for the first time .
1720,그녀는 작년에는 예쁘지 않았습니다 .,She was not pretty last year .
1721,그녀는 작정하고 바람을 폈습니다 .,She cheated on me on purpose .
1722,그녀는 잔잔하고 담담하게 감정을 말하는 아마추어야 .,She is a amateur who talks about emotions with calm and serenity .
1723,그녀는 잘 알려진 사람이 아닙니다 .,She is not a well known person .
1724,그녀는 잘 지내고 있으니 걱정하지 마세요 .,Don t worry about her since she is fine .
1725,그녀는 잘 찾고 있는 중이야 .,She is doing well searching for it .
1726,그녀는 잘못한 게 전혀 없다고 했어요 .,She said she did nothing wrong .
1727,그녀는 잠수하는 걸 좋아해요 .,She likes to dive .
1728,그녀는 잠에서 막 깨어나 침대에 걸터앉았어요 .,She just woke up and perched on the edge of the bed .
1729,그녀는 잡지를 읽고 있습니다 .,She is reading a magazine .
1730,그녀는 장기적인 계약을 위해 정보를 알아보길 원합니다 .,She wants to get the information for a long term contract .
1731,그녀는 장난기 많은 소녀예요 .,She is a playful girl .
1732,그녀는 장난을 많이 칩니다 .,She kids much .
1733,그녀는 장애인 운동선수입니다 .,She is a disabled athlete .
1734,그녀는 재미있고 분위기를 잘 띄워 .,She is fun and lightens up the mood .
1735,그녀는 재미있는 경험을 많이 했어요 .,She had fun experiences a lot .
1736,그녀는 재미있는 일이 일어나기를 소원했습니다 .,She wished something funny to happen .
1737,그녀는 재킷으로 그녀만의 스타일을 완성합니다 .,She completes her own style with jackets .
1738,그녀는 재혼에 대해서 매우 신중합니다 .,She is very careful about the second marriage .
1739,그녀는 저 학교에 다닙니다 .,She goes to that school .
1740,그녀는 저녁식사를 위해 나갔습니다 .,She went out for dinner .
1741,그녀는 저녁에 무엇을 합니까 ?,What does she do in the evening ?
1742,그녀는 저녁으로 닭고기를 먹는 것을 더 좋아합니다 .,She prefers to have chicken for dinner .
1743,그녀는 저를 5분도 기다리려고 하지 않았어요 .,She wouldn t wait 5 minutes for me .
1744,그녀는 저를 무척이나 아껴줘요 .,She cares about me a lot .
1745,그녀는 저를 벌레보듯 보았습니다 .,She looked at me like I was in the worm .
1746,그녀는 저를 위해 훌륭한 조언을 해주십니다 .,She gives great advice for me .
1747,그녀는 저를 위해서 그것을 비축해 두었어요 .,She stored it for me .
1748,그녀는 저를 절대 환영해주지 않습니다 .,She never welcomes me .
1749,그녀는 저를 정말 잘 이해해줍니다 .,She understands me very well .
1750,그녀는 저를 친구처럼 편안하게 대해 줬습니다 .,She treated me comfortably as a close friend .
1751,그녀는 저보다 2살 아래예요 .,She s two years younger than me .
1752,그녀는 저보다 골프를 훨씬 잘 쳐요 .,She plays golf much better than me .
1753,그녀는 저보다 훨씬 나아요 .,She is much better than I am .
1754,그녀는 저에 대해 숨겨진 적개심이 있어요 .,She has an underlying hostility towards me .
1755,그녀는 저에게 광주에 처음 왔다고 했어요 .,She told me it was her first time to visit Gwangju .
1756,그녀는 저에게 가끔 화를 냅니다 .,She gets angry at me sometimes .
1757,그녀는 저에게 가을을 좋아한다고 했어요 .,She told me she likes autumn .
1758,그녀는 저에게 건강이 나쁘다고 했습니다 .,She told me that she is not healthy .
1759,그녀는 저에게 그것 대신에 책을 읽으라고 했습니다 .,She asked me to read a book instead of doing it .
1760,그녀는 저에게 똑같은 것을 요구하셨어요 .,She asked me the same thing .
1761,그녀는 저에게 매우 과분한 사람입니다 .,She is too good for me .
1762,그녀는 저에게 있어 소중한 존재예요 .,She is the apple of my eye .
1763,그녀는 저에게 적의를 느끼고 있어요 .,She feels hostility toward me .
1764,그녀는 저에게 정중하게 인사하지 않았습니다 .,She didn t greet me respectfully .
1765,그녀는 저에게 친절하게 대해주지도 않아요 .,Even she s not friendly to me .
1766,그녀는 저에게 편안한 느낌을 느끼게 해줘요 .,She makes me feel comfortable .
1767,그녀는 저와 가장 친하게 지내는 친구입니다 .,She is my close friend .
1768,그녀는 저와 같은 반이에요 .,She s my classmate .
1769,그녀는 저와 기꺼이 악수했습니다 .,She shook hands with me with pleasure .
1770,그녀는 저울을 사용해서 사과의 무게를 쟀다 .,She weighed an apple with a scale .
1771,그녀는 저의 가이드 러너입니다 .,She s my guide runner .
1772,그녀는 저의 가정 교사예요 .,She is my tutor .
1773,그녀는 저의 소중한 친구예요 .,She is my precious friend .
1774,그녀는 저의 완벽하고 멋진 친구입니다 .,She is a perfect and nice friend .
1775,그녀는 저의 전부입니다 .,She s my everything .
1776,그녀는 저의 절친한 친구입니다 .,She is a close friend of mine .
1777,그녀는 저의 지위를 떨어뜨리고 싶어 해요 .,She wants to put me down .
1778,그녀는 저의 첫사랑이에요 .,She is my first love .
1779,그녀는 저의 평생의 반쪽입니다 .,She is my better half of life .
1780,그녀는 저희 회사에서 일하는 통역사입니다 .,She is a translator working for our company .
1781,그녀는 적극적으로 다른 사람의 이야기를 잘 들어주었습니다 .,She willingly listened to other people s stories .
1782,그녀는 적절한 사진 자료를 제공했어요 .,She provided a proper image material .
1783,그녀는 적절한 사진에 신경을 많이 썼습니다 .,She paid a great deal of attention to proper photos .
1784,그녀는 전공을 바이올린으로 선택했어요 .,She chose violin as her major .
1785,그녀는 전반적인 혁신으로 명실상부한 특급호텔의 위치를 지키겠다고 약속했습니다 .,She promised to maintain the position of the hotel with all round innovation .
1786,그녀는 전쟁으로 인한 가난과 큰 키 때문에 발레리나가 될 수밖에 없었습니다 .,She couldn t be a ballerina because of the poverty and her height .
1787,그녀는 전쟁을 겪고 장애인이 되었습니다 .,She went through a war and it made her to be handicapped .
1788,그녀는 전쟁의 포화 속에 남편을 잃었어 .,She lost her husband in a heavy fire of the war .
1789,그녀는 전철을 타고 신문을 봅니다 .,She takes a train and reads the newspaper .
1790,그녀는 전체적으로 귀여운 느낌이었어요 .,She seems cute overall .
1791,그녀는 전통적인 한식을 좋아하고 미술을 좋아하며 약간 조용한 스타일입니다 .,She enjoys eating traditional Korean food likes art and is calm .
1792,그녀는 절 만나길 원하지 않을지도 모릅니다 .,She may not want to meet me .
1793,그녀는 절 위해 세탁을 해줄 정도로 친절합니다 .,She is kind enough to do the laundry for me .
1794,그녀는 절대 나타나지 않아요 .,She never shows up .
1795,그녀는 절대 받아들이지 않을 거예요 .,She will never accept it .
1796,그녀는 젊었을 때 자신의 인품을 좋게 만들어야 된다고 했습니다 .,When she was young she said people must build good character .
1797,그녀는 젊은 사람이 살아남은 것에 행복해했어요 .,She was happy that the young man was alive .
1798,그녀는 점심에 음악을 들었습니다 .,She listened to the music at noon .
1799,그녀는 점심으로 무엇을 만들었습니까 ?,What did she make for lunch ?
1800,그녀는 점심을 공원에서 한턱 냈습니다 .,She bought the lunch at park .
1801,그녀는 점심을 잘 먹었어요 .,She had a good lunch .
1802,그녀는 점점 더 인기가 높아져 가요 .,She s getting more and more popular .
1803,그녀는 정말 경솔한 사람이에요 .,She is such a brash person .
1804,그녀는 정말 괜찮은 여자야 .,She s really nice .
1805,그녀는 정말 나쁜 여자예요 .,She s a bitch .
1806,그녀는 정말 말썽꾸러기에 요 .,She is a trouble maker .
1807,그녀는 정말 빨리 달릴 수 있습니다 .,She can run really fast .
1808,그녀는 정말 아름다워 보여요 .,She looks absolutely beautiful .
1809,그녀는 정말 아름답고 환상적이야 .,She is really gorgeous and fantastic .
1810,그녀는 정말 웃긴 사람이야 .,She s really funny .
1811,그녀는 정말 유쾌한 사람이에요 .,She is really a cheerful person .
1812,그녀는 정말 인형처럼 예뻐요 .,She is a real doll .
1813,그녀는 정말 장난꾸러기에 요 .,She is a mischievous girl .
1814,그녀는 정말 재미있어요 .,She s so funny .
1815,그녀는 정말 좋은 사람이에요 정말이에요 .,She s really good I tell you .
1816,그녀는 정말 특이한 여자예요 .,She is eccentric .
1817,그녀는 정말 훌륭한 아내에요 .,She s a great wife .
1818,그녀는 정말로 아름다워요 .,She is really beautiful .
1819,그녀는 정말로 아름답습니다 .,She is so beautiful .
1820,그녀는 정말로 재미있습니다 .,She is really fun .
1821,그녀는 정숙하고 침착하며 교양 있고 아름답습니다 .,She is virtuous calm cultured and beautiful .
